split,control,dataset,horizon,ordered_mse,control_mse,mse_gain,ordered_mae,control_mae,mae_gain
test,ORDER_SHUFFLED,ETTh1,720,0.7430249753476125,0.7522010481611592,0.012198963077728569,0.6264256829879847,0.6323987501613222,0.009445096423441303
test,ORDER_SHUFFLED,ETTh2,96,0.2731311676671975,0.33014772546756044,0.17270013815668472,0.3454105437677966,0.39871537654134714,0.13369143983345413
test,ORDER_SHUFFLED,ETTh2,192,0.3110962139131404,0.3563586585763001,0.12701373622852086,0.37167907158875224,0.4155555758595306,0.1055851655462081
test,ORDER_SHUFFLED,ETTh2,336,0.34357748217837686,0.3790087599184036,0.09348406023030895,0.3975008584371167,0.43116411076178596,0.07807526527472945
test,ORDER_SHUFFLED,ETTh2,720,0.4245796452036674,0.46063762847567963,0.07827841462134474,0.45257093854443403,0.48320201021613646,0.0633918548020964
test,ORDER_SHUFFLED,ETTm1,96,0.37560666709615775,0.6294294768477016,0.40325853663977584,0.41325169512834964,0.5246082649770986,0.21226613700722027
test,ORDER_SHUFFLED,ETTm1,192,0.40120616642339546,0.6391301325142301,0.3722621638176906,0.42769790024218174,0.530605955035312,0.1939444022754734
test,ORDER_SHUFFLED,ETTm1,336,0.433108948558138,0.6493554573711648,0.33301715779593827,0.4449637563798529,0.5391959634815059,0.17476430367395562
test,ORDER_SHUFFLED,ETTm1,720,0.4850220241689557,0.6666690610880909,0.2724695767682147,0.47063873941001383,0.5535722129539536,0.14981509476675675
test,ORDER_SHUFFLED,ETTm2,96,0.21199570547951488,0.30761355586350064,0.31083757058617695,0.30445911074926496,0.3664293507945949,0.1691192037727018
test,ORDER_SHUFFLED,ETTm2,192,0.2668439181952852,0.3323379703299242,0.19707062683695345,0.33530937895062446,0.3801276820801273,0.11790328682259868
test,ORDER_SHUFFLED,ETTm2,336,0.3129508118159489,0.36110907955884003,0.133362107099952,0.3625489164344175,0.3968345854127588,0.08639788526163818
test,ORDER_SHUFFLED,ETTm2,720,0.37911393306592694,0.4169711838243834,0.09079104798378798,0.40478699186216716,0.431600325349226,0.062125378300776385
test,ORDER_SHUFFLED,Weather,96,0.16624667468536675,0.2277377412394178,0.270008239387104,0.2220187590979537,0.29629065666190096,0.25067242551863306
test,ORDER_SHUFFLED,Weather,192,0.2052028142835168,0.25999602651178316,0.2107463447168609,0.2576362152217998,0.3189027085235046,0.19211656616327918
test,ORDER_SHUFFLED,Weather,336,0.25224829611309263,0.2994701023409141,0.15768454299342569,0.29273695611869394,0.34309682409996467,0.14678033850467204
test,ORDER_SHUFFLED,Weather,720,0.3198612862076024,0.35445785015857106,0.09760416911486504,0.33799175371426077,0.37562045309494513,0.10017745059045813
