dataset,reference,target_horizon,pcc_mse,reference_mse,pcc_mse_gain_percent,pcc_mae_gain_percent
ETTh1,a6,80,0.7782748589292169,0.7753741823136806,-0.3741002320815978,-1.5425048482287318
ETTh1,a6,81,0.7807964816873456,0.778285711635778,-0.3226026141852856,-1.487339036143065
ETTh1,a6,82,0.7839710823282963,0.7811074642146506,-0.3666100050042198,-1.517884986786866
ETTh1,a6,83,0.7868193641125437,0.7839144834552902,-0.3705609117527153,-1.504662617267094
ETTh1,a6,84,0.7900431846224126,0.7866377638919013,-0.43290837114950964,-1.5385202927872266
ETTh1,a6,85,0.7945896255619386,0.789557512367473,-0.6373333310928597,-1.6746734882535197
ETTh1,a6,86,0.7988670435409213,0.7922577213409335,-0.8342389126610561,-1.8006565908893712
ETTh1,a6,87,0.8025566553589941,0.7950711654520582,-0.9414867790708881,-1.847294352978457
ETTh1,a6,88,0.8052066627212546,0.7979975552721457,-0.9033996910742914,-1.8240348384143568
ETTh1,a6,89,0.8081487425592508,0.8007544540287403,-0.9234152233944526,-1.8103066323707395
ETTh1,a6,90,0.8112362088428603,0.8035762078232236,-0.9532389019314857,-1.821504989200906
ETTh1,a6,91,0.8148818561336496,0.8063121333227052,-1.0628294498843394,-1.9035388101398043
ETTh1,a6,92,0.8194810924646647,0.8088982215394145,-1.3083068603006565,-2.0626824939955046
ETTh1,a6,93,0.8220138814180128,0.8116345463260528,-1.2788187909131166,-2.0508207287804225
ETTh1,a6,94,0.8244309052824974,0.8141059755010808,-1.2682537767962687,-2.037452078570201
ETTh1,a6,95,0.82653715061514,0.8165134386012428,-1.227623642186293,-2.008532650204309
ETTh1,a6,96,0.8290099844646951,0.8188300660500923,-1.243227238065292,-2.010867609952194
ETTh1,a6,97,0.831511886617572,0.8215172936006919,-1.2166016582650485,-1.9933429296314031
ETTh1,a6,98,0.8344062696001968,0.8240778379294337,-1.253332051340461,-2.006093537249498
ETTh1,a6,99,0.8371765885991279,0.8271493303655374,-1.212266983176935,-1.9763772683879521
ETTh1,a6,100,0.8403869099915028,0.8298767143487931,-1.2664767502191143,-1.9955354226853128
ETTh1,a6,101,0.8432083680193023,0.8328237858149085,-1.2469122978077118,-1.9772746856328904
ETTh1,a6,102,0.8457401145030471,0.8355483114719391,-1.2197742358133201,-1.9443412119388714
ETTh1,a6,103,0.8485830717005776,0.8385359274530874,-1.1981769556382194,-1.914422237542568
ETTh1,a6,104,0.8513909276001729,0.8415048598096921,-1.1748081636410834,-1.8926201569986922
ETTh1,a6,105,0.8542018886123385,0.8443658936591375,-1.164897235554574,-1.8773615929742693
ETTh1,a6,106,0.8566963915836137,0.8472317485314496,-1.117125635172389,-1.832599549790892
ETTh1,a6,107,0.8603748747400034,0.8498382150569809,-1.2398430073323974,-1.9079099193821225
ETTh1,a6,108,0.8630180663808629,0.8524158238260834,-1.2437876278728721,-1.9026858528186752
ETTh1,a6,109,0.8657703319000541,0.8554136299212044,-1.210724451491818,-1.8858918033825223
ETTh1,a6,110,0.8686188238588246,0.858075642043894,-1.228700745987532,-1.9020156702820312
ETTh1,a6,111,0.8717129548659196,0.8606880146103937,-1.2809450193769223,-1.9285079178175568
ETTh1,a6,112,0.8745457196076002,0.8636291798736367,-1.26403090450935,-1.9053828877994672
ETTh1,a6,113,0.8774304153908671,0.8661959820089087,-1.296985164477804,-1.9102797155634788
ETTh1,a6,114,0.8808098389652738,0.8690080909352553,-1.3580711334133744,-1.9648552569631939
ETTh1,a6,115,0.8834727604752002,0.8719382343084916,-1.3228604633740204,-1.9400685360975167
ETTh1,a6,116,0.885908542650527,0.8746749034215664,-1.2843216588262374,-1.9133641695256332
ETTh1,a6,117,0.8882161884481071,0.8774602958279797,-1.225798212325735,-1.8673589553010128
ETTh1,a6,118,0.890607956733744,0.880118200839576,-1.1918576259599467,-1.8443828641240723
ETTh1,a6,119,0.8931529578291068,0.8825563748343652,-1.200669248661912,-1.8393117224501543
