system,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,checkpoint_repetitions,system_role
iTransformer,Weather,192,0.22787028958601127,0.26172562476209493,0.228,0.262,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,Weather,192,0.19927548487595478,0.24593632324204104,0.199,0.246,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,Weather,192,0.21841101110991135,0.2782469473007667,0.218,0.278,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,Weather,336,0.23218611821442647,0.26377962898612267,0.232,0.264,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,Weather,336,0.2352006530965723,0.2650322461101626,0.235,0.265,second,second,1,source_native_H720_model_on_official_fixed_H_loader
QDF,Weather,336,0.27640771865844727,0.3073421120643616,0.276,0.307,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,Weather,336,0.2435646802186966,0.281747967004776,0.244,0.282,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,Weather,336,0.2727209984634504,0.29627880593477895,0.273,0.296,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,Weather,336,0.2829813363222093,0.30100460044604,0.283,0.301,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,Weather,336,0.24895504453393474,0.2843199039867827,0.249,0.284,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,Weather,336,0.26433005725428926,0.31690158758528614,0.264,0.317,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,Weather,720,0.30416474674338456,0.3147720183854933,0.304,0.315,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,Weather,720,0.30730863438608746,0.317576495397629,0.307,0.318,second,second,1,source_native_H720_model_on_official_fixed_H_loader
QDF,Weather,720,0.3410804271697998,0.35111936926841736,0.341,0.351,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,Weather,720,0.31507608294487,0.3323940336704254,0.315,0.332,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,Weather,720,0.3457577038919015,0.34370551336397764,0.346,0.344,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,Weather,720,0.3588743374916398,0.35073530336167746,0.359,0.351,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,Weather,720,0.31945801049238853,0.3354899132304421,0.319,0.335,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,Weather,720,0.32820864097883984,0.36948836082227016,0.328,0.369,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,Weather,Avg.,0.2148870747075069,0.24582054985665638,0.215,0.246,best,best,1,four_horizon_arithmetic_mean
TimeAlign,Weather,Avg.,0.2176271085684199,0.24742025766888492,0.218,0.247,second,second,1,four_horizon_arithmetic_mean
QDF,Weather,Avg.,0.2600047253072262,0.295109536498785,0.260,0.295,normal,normal,1,four_horizon_arithmetic_mean
